gene,c,coeff,pval,group,importance
RPA3,HMGB1,0.060483983993837136,0.13217116789649408,er,2.6114926909356795e-5
RPA3,LIG1,0.05588507025886287,0.16424662681674995,er,3.888897988397622e-5
RPA3,MSH2,0.02457438407638718,0.5410347523998573,er,3.0768239907050796e-5
RPA3,PCNA,-0.0018140420945267583,0.9640159202943023,er,4.533783123094404e-5
RPA3,PMS2,-0.13820533698601836,5.529368091564767e-4,er,2.5948707227060775e-5
RPA3,POLD2,-0.05601643404521389,0.16325578158328694,er,2.386963873679515e-5
RPA3,RFC2,0.04301194023831951,0.28453477680812544,er,3.0008746669129894e-5
RPA3,RFC3,0.053545939658064694,0.1826546709825324,er,1.1635197023841793e-4
RPA3,RFC4,0.05785844405566757,0.14983156670738246,er,3.8271490786244923e-5
RPA3,RPA1,0.03441133336683103,0.39196909923447076,er,3.579846894300043e-5
RPA3,RPA3,-0.11809383918745989,0.0032058959766584406,er,5.100862221962199e-5
